,price
2021-08-23 00:00:00-05:00,11
2021-08-23 01:00:00-05:00,11
2021-08-23 02:00:00-05:00,9
2021-08-23 03:00:00-05:00,10
2021-08-23 04:00:00-05:00,10
2021-08-23 05:00:00-05:00,12
2021-08-23 06:00:00-05:00,14
2021-08-23 07:00:00-05:00,13
2021-08-23 08:00:00-05:00,14
2021-08-23 09:00:00-05:00,15
2021-08-23 10:00:00-05:00,15
2021-08-23 11:00:00-05:00,15
2021-08-23 12:00:00-05:00,15
2021-08-23 13:00:00-05:00,15
2021-08-23 14:00:00-05:00,15
2021-08-23 15:00:00-05:00,14
2021-08-23 16:00:00-05:00,16
2021-08-23 17:00:00-05:00,20
2021-08-23 18:00:00-05:00,17
2021-08-23 19:00:00-05:00,16
2021-08-23 20:00:00-05:00,14
2021-08-23 21:00:00-05:00,14
2021-08-23 22:00:00-05:00,13
2021-08-23 23:00:00-05:00,14
